obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.57363755810""","=""0.00000000004""","=""""","=""1.562e+05""",AA,"=""[23.73609033897]""","=""[24.3097278970701]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57363741747""","=""0.00000000004""","=""""","=""3.2808e+03""",AAA,"=""[23.73609019010]""","=""[24.3097276075680]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57363726860""","=""0.00000000004""","=""""","=""1.1481e+05""",AAA,"=""[23.73609033897]""","=""[24.3097276075680]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57363721829""","=""0.00000000004""","=""""","=""7.3817e+05""",AAA,"=""[23.73609019010]""","=""[24.3097274083893]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57363710106""","=""0.00000000004""","=""""","=""6.1644e+04""",AAA,"=""[23.73609019010]""","=""[24.3097272911601]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57363695219""","=""0.00000000004""","=""""","=""4.9996e+05""",AAA,"=""[23.73609033897]""","=""[24.3097272911601]""","=""1s.4d""","=""3D""","=""2""","=""1s.7f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57363497250""","=""0.00000000004""","=""""","=""6.2007e+05""",AAA,"=""[23.73609263507]""","=""[24.3097276075680]""","=""1s.4d""","=""3D""","=""1""","=""1s.7f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57339286171""","=""0.00000000004""","=""""","=""5.6085e+05""",AAA,"=""[23.73633503536]""","=""[24.3097278970701]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57339257221""","=""0.00000000004""","=""""","=""1.489e+01""",AA,"=""[23.73633503536]""","=""[24.3097276075680]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57339225580""","=""0.00000000004""","=""""","=""1.763e+05""",AA,"=""[23.73633503536]""","=""[24.3097272911601]""","=""1s.4d""","=""1D""","=""2""","=""1s.7f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572744674202""","=""0.000000000009""","=""""","=""6.364e+03""",AA,"=""[23.737006806968]""","=""[24.3097514811699]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572744597386""","=""0.000000000009""","=""""","=""3.3014e+04""",AAA,"=""[23.737006806968]""","=""[24.3097514043543]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572744358611""","=""0.000000000009""","=""""","=""6.1488e+05""",AAA,"=""[23.737006806968]""","=""[24.3097511655788]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572743788987""","=""0.000000000009""","=""""","=""1.942e+04""",AA,"=""[23.737007692183]""","=""[24.3097514811699]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""1G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572743712171""","=""0.000000000009""","=""""","=""8.2516e+02""",AAA,"=""[23.737007692183]""","=""[24.3097514043543]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""3G""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572743598377""","=""0.000000000009""","=""""","=""6.4692e+05""",AAA,"=""[23.737007692183]""","=""[24.3097512905603]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""3G""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572743473395""","=""0.000000000009""","=""""","=""2.1016e+04""",AAA,"=""[23.737007692183]""","=""[24.3097511655788]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7g""","=""3G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572742643629""","=""0.000000000009""","=""""","=""5.9411e+05""",AAA,"=""[23.737008760725]""","=""[24.3097514043543]""","=""1s.4f""","=""3F*""","=""2""","=""1s.7g""","=""3G""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572741759079""","=""0.000000000009""","=""""","=""6.2114e+05""",AAA,"=""[23.737009722091]""","=""[24.3097514811699]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572741682263""","=""0.000000000009""","=""""","=""1.897e+04""",AA,"=""[23.737009722091]""","=""[24.3097514043543]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572741443488""","=""0.000000000009""","=""""","=""1.103e+04""",AA,"=""[23.737009722091]""","=""[24.3097511655788]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572590574336""","=""0.000000000011""","=""""","=""4.095e+03""",AA,"=""[23.737006806968]""","=""[24.309597381304]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572587659213""","=""0.000000000011""","=""""","=""7.3892e+03""",AAA,"=""[23.737009722091]""","=""[24.309597381304]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572534120193""","=""0.000000000011""","=""""","=""6.6361e+03""",AAA,"=""[23.737006806968]""","=""[24.309540927161]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572534090332""","=""0.000000000011""","=""""","=""5.8392e+02""",AAA,"=""[23.737006806968]""","=""[24.309540897300]""","=""1s.4f""","=""3F*""","=""3""","=""1s.7d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572533205116""","=""0.000000000011""","=""""","=""1.0640e+04""",AAA,"=""[23.737007692183]""","=""[24.309540897300]""","=""1s.4f""","=""3F*""","=""4""","=""1s.7d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572532592876""","=""0.000000000011""","=""""","=""1.1585e+04""",AAA,"=""[23.737008760725]""","=""[24.309541353601]""","=""1s.4f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572532166436""","=""0.000000000011""","=""""","=""1.2872e+03""",AAA,"=""[23.737008760725]""","=""[24.309540927161]""","=""1s.4f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572532136574""","=""0.000000000011""","=""""","=""2.6271e+01""",AAA,"=""[23.737008760725]""","=""[24.309540897300]""","=""1s.4f""","=""3F*""","=""2""","=""1s.7d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572531205070""","=""0.000000000011""","=""""","=""3.662e+03""",AA,"=""[23.737009722091]""","=""[24.309540927161]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.572531175209""","=""0.000000000011""","=""""","=""3.356e+02""",AA,"=""[23.737009722091]""","=""[24.309540897300]""","=""1s.4f""","=""1F*""","=""3""","=""1s.7d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.56819922440""","=""0.00000000017""","=""""","=""9.1125e+04""",AAA,"=""[23.73609263507]""","=""[24.30429185947]""","=""1s.4d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.56819906267""","=""0.00000000017""","=""""","=""6.8335e+04""",AAA,"=""[23.73609033897]""","=""[24.30428940164]""","=""1s.4d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.56819901137""","=""0.00000000017""","=""""","=""7.6545e+04""",AAA,"=""[23.73609019010]""","=""[24.30428920147]""","=""1s.4d""","=""3D""","=""3""","=""1s.7p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.56819886250""","=""0.00000000017""","=""""","=""1.3667e+04""",AAA,"=""[23.73609033897]""","=""[24.30428920147]""","=""1s.4d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.56819676657""","=""0.00000000017""","=""""","=""2.2781e+04""",AAA,"=""[23.73609263507]""","=""[24.30428940164]""","=""1s.4d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.56819656640""","=""0.00000000017""","=""""","=""9.1125e+02""",AAA,"=""[23.73609263507]""","=""[24.30428920147]""","=""1s.4d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5675273125""","=""0.0000000009""","=""""","=""5.3341e+05""",AAA,"=""[23.74207006880]""","=""[24.309597381304]""","=""1s.4p""","=""1P*""","=""1""","=""1s.7d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5674708584""","=""0.0000000009""","=""""","=""4.330e+01""",AA,"=""[23.74207006880]""","=""[24.309540927161]""","=""1s.4p""","=""1P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5562158369""","=""0.0000000009""","=""""","=""4.4367e+05""",AAA,"=""[23.74207006880]""","=""[24.2982859057]""","=""1s.4p""","=""1P*""","=""1""","=""1s.7s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5374320870""","=""0.0000000025""","=""""","=""2.2045e+05""",AAA,"=""[23.673570590]""","=""[24.21100267716]""","=""1s.4s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5356792038""","=""0.0000000025""","=""""","=""4.302e-01""",AA,"=""[23.673570590]""","=""[24.209249793955]""","=""1s.4s""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""0.5013585660""","=""0.0000000009""","=""""","=""1.842e+01""",AA,"=""[23.7078912279]""","=""[24.209249793955]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""1D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5013574506""","=""0.0000000009""","=""""","=""5.148e+01""",AA,"=""[23.7078923433]""","=""[24.209249793955]""","=""1s.4p""","=""3P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5012726071""","=""0.0000000009""","=""""","=""2.2527e+04""",AAA,"=""[23.7078912279]""","=""[24.209163835045]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5012719294""","=""0.0000000009""","=""""","=""2.0272e+05""",AAA,"=""[23.7078912279]""","=""[24.209163157329]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5012718825""","=""0.0000000009""","=""""","=""8.1095e+05""",AAA,"=""[23.7078912279]""","=""[24.209163110443]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5012714917""","=""0.0000000009""","=""""","=""3.3790e+05""",AAA,"=""[23.7078923433]""","=""[24.209163835045]""","=""1s.4p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5012708140""","=""0.0000000009""","=""""","=""6.0816e+05""",AAA,"=""[23.7078923433]""","=""[24.209163157329]""","=""1s.4p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5012578130""","=""0.0000000009""","=""""","=""4.5053e+05""",AAA,"=""[23.7079060221]""","=""[24.209163835045]""","=""1s.4p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.4775063737""","=""0.0000000012""","=""""","=""1.6011e+04""",AAA,"=""[23.9719714182]""","=""[24.44947779185]""","=""1s.5s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.4775055414""","=""0.0000000012""","=""""","=""1.6011e+04""",AAA,"=""[23.9719714182]""","=""[24.44947695951]""","=""1s.5s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.4775054736""","=""0.0000000012""","=""""","=""1.6011e+04""",AAA,"=""[23.9719714182]""","=""[24.44947689179]""","=""1s.5s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.47466764180""","=""0.00000000030""","=""""","=""8.1901e+04""",AAA,"=""[23.73633503536]""","=""[24.21100267716]""","=""1s.4d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473365575682""","=""0.000000000037""","=""""","=""3.854e+04""",AA,"=""[23.73609019010]""","=""[24.2094557657828]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473365426814""","=""0.000000000037""","=""""","=""2.961e+05""",AA,"=""[23.73609033897]""","=""[24.2094557657828]""","=""1s.4d""","=""3D""","=""2""","=""1s.6f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473365152728""","=""0.000000000037""","=""""","=""5.7436e+03""",AAA,"=""[23.73609019010]""","=""[24.209455342828]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473365003860""","=""0.000000000037""","=""""","=""2.0100e+05""",AAA,"=""[23.73609033897]""","=""[24.209455342828]""","=""1s.4d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473364836379""","=""0.000000000037""","=""""","=""1.2923e+06""",AAA,"=""[23.73609019010]""","=""[24.2094550264796]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473364637429""","=""0.000000000037""","=""""","=""1.0505e+05""",AAA,"=""[23.73609019010]""","=""[24.209454827529]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473364488561""","=""0.000000000037""","=""""","=""8.5264e+05""",AAA,"=""[23.73609033897]""","=""[24.209454827529]""","=""1s.4d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473362707758""","=""0.000000000037""","=""""","=""1.0855e+06""",AAA,"=""[23.73609263507]""","=""[24.209455342828]""","=""1s.4d""","=""3D""","=""1""","=""1s.6f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473120730420""","=""0.000000000037""","=""""","=""9.5684e+05""",AAA,"=""[23.73633503536]""","=""[24.2094557657828]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473120307466""","=""0.000000000037""","=""""","=""2.607e+01""",AA,"=""[23.73633503536]""","=""[24.209455342828]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.473119792166""","=""0.000000000037""","=""""","=""3.343e+05""",AA,"=""[23.73633503536]""","=""[24.209454827529]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472485576309""","=""0.000000000009""","=""""","=""1.360e+04""",AA,"=""[23.737006806968]""","=""[24.2094923832773]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472485454486""","=""0.000000000009""","=""""","=""7.0158e+04""",AAA,"=""[23.737006806968]""","=""[24.2094922614541]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472485075169""","=""0.000000000009""","=""""","=""1.3066e+06""",AAA,"=""[23.737006806968]""","=""[24.2094918821374]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472484691094""","=""0.000000000009""","=""""","=""4.129e+04""",AA,"=""[23.737007692183]""","=""[24.2094923832773]""","=""1s.4f""","=""3F*""","=""4""","=""1s.6g""","=""1G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472484569271""","=""0.000000000009""","=""""","=""1.7536e+03""",AAA,"=""[23.737007692183]""","=""[24.2094922614541]""","=""1s.4f""","=""3F*""","=""4""","=""1s.6g""","=""3G""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472484388559""","=""0.000000000009""","=""""","=""1.3748e+06""",AAA,"=""[23.737007692183]""","=""[24.2094920807421]""","=""1s.4f""","=""3F*""","=""4""","=""1s.6g""","=""3G""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472484189954""","=""0.000000000009""","=""""","=""4.4636e+04""",AAA,"=""[23.737007692183]""","=""[24.2094918821374]""","=""1s.4f""","=""3F*""","=""4""","=""1s.6g""","=""3G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472483500729""","=""0.000000000009""","=""""","=""1.2626e+06""",AAA,"=""[23.737008760725]""","=""[24.2094922614541]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6g""","=""3G""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472482661186""","=""0.000000000009""","=""""","=""1.3199e+06""",AAA,"=""[23.737009722091]""","=""[24.2094923832773]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472482539363""","=""0.000000000009""","=""""","=""4.032e+04""",AA,"=""[23.737009722091]""","=""[24.2094922614541]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472482160046""","=""0.000000000009""","=""""","=""2.353e+04""",AA,"=""[23.737009722091]""","=""[24.2094918821374]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472242986987""","=""0.000000000015""","=""""","=""7.805e+03""",AA,"=""[23.737006806968]""","=""[24.209249793955]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472240071864""","=""0.000000000015""","=""""","=""1.4102e+04""",AAA,"=""[23.737009722091]""","=""[24.209249793955]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472156350361""","=""0.000000000019""","=""""","=""1.2660e+04""",AAA,"=""[23.737006806968]""","=""[24.209163157329]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472156303475""","=""0.000000000019""","=""""","=""1.1134e+03""",AAA,"=""[23.737006806968]""","=""[24.209163110443]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472155418259""","=""0.000000000019""","=""""","=""2.0287e+04""",AAA,"=""[23.737007692183]""","=""[24.209163110443]""","=""1s.4f""","=""3F*""","=""4""","=""1s.6d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472155074320""","=""0.000000000019""","=""""","=""2.2090e+04""",AAA,"=""[23.737008760725]""","=""[24.209163835045]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472154396603""","=""0.000000000019""","=""""","=""2.4542e+03""",AAA,"=""[23.737008760725]""","=""[24.209163157329]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472154349717""","=""0.000000000019""","=""""","=""5.0091e+01""",AAA,"=""[23.737008760725]""","=""[24.209163110443]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472153435238""","=""0.000000000019""","=""""","=""6.976e+03""",AA,"=""[23.737009722091]""","=""[24.209163157329]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.472153388352""","=""0.000000000019""","=""""","=""6.398e+02""",AA,"=""[23.737009722091]""","=""[24.209163110443]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.4689326084""","=""0.0000000009""","=""""","=""2.9767e-01""",AAA,"=""[23.74207006880]""","=""[24.21100267716]""","=""1s.4p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
"=""""","=""""","=""0.4671797252""","=""0.0000000009""","=""""","=""8.6854e+05""",AAA,"=""[23.74207006880]""","=""[24.209249793955]""","=""1s.4p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.4670930885""","=""0.0000000009""","=""""","=""7.575e+01""",AA,"=""[23.74207006880]""","=""[24.209163157329]""","=""1s.4p""","=""1P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.46472707297""","=""0.00000000030""","=""""","=""1.5976e+05""",AAA,"=""[23.73609263507]""","=""[24.20081970804]""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.46472543601""","=""0.00000000030""","=""""","=""1.1980e+05""",AAA,"=""[23.73609033897]""","=""[24.20081577498]""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.46472526441""","=""0.00000000030""","=""""","=""1.3420e+05""",AAA,"=""[23.73609019010]""","=""[24.20081545451]""","=""1s.4d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
